code,building,drawing,sheet,axis,level_start,level_end,orientation,classification,bar_count,diameter_mm,spacing_cm,length_cm,lap_anchorage,face_edge,wall_parents,status,source,geometry_pending,resolution,note,record_type
LT2:301:01,LT2,2024_22-300-301-Model,301,2,B1,L3,VERTICAL,BOUNDARY,,,,,,borde,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,borde inferior: grupos longitudinales de mayor diametro (respecto de los superiores); arranques desde la fundacion presentes; cifra y transicion por nivel requieren el plano. Sin muro FE inequivoco para este eje.,BOUNDARY
LT2:301:02,LT2,2024_22-300-301-Model,301,2,L3,ROOF,VERTICAL,BOUNDARY,,22,,,,borde,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,borde superior: grupos longitudinales B22; cantidad exacta por nivel requiere el plano (cifra no legible). Sin muro FE inequivoco para este eje.,BOUNDARY
LT2:301:03,LT2,2024_22-300-301-Model,301,2,B1,ROOF,VERTICAL,DISTRIBUTED,,,,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,armadura distribuida vertical del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Sin muro FE inequivoco para este eje.,DISTRIBUTED
LT2:301:04,LT2,2024_22-300-301-Model,301,2,B1,ROOF,HORIZONTAL,DISTRIBUTED,,,,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,armadura distribuida horizontal del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Sin muro FE inequivoco para este eje.,DISTRIBUTED
LT2:301:05,LT2,2024_22-300-301-Model,301,2,B1,ROOF,VERTICAL,LOCAL,,,,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,"refuerzos locales en encuentros con vigas/losas, empalmes/anclajes y arranques desde fundacion; detalles puntuales requieren el plano. Sin muro FE inequivoco para este eje.",LOCAL
LT2:302:01,LT2,2024_22-300-302-Model,302,8B,B1,L3,VERTICAL,BOUNDARY,,,,,,borde,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,borde inferior: grupos longitudinales de mayor diametro (respecto de los superiores); arranques desde la fundacion presentes; cifra y transicion por nivel requieren el plano. Sin muro FE inequivoco para este eje.,BOUNDARY
LT2:302:02,LT2,2024_22-300-302-Model,302,8B,L3,ROOF,VERTICAL,BOUNDARY,,22,,,,borde,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,borde superior: grupos longitudinales B22; cantidad exacta por nivel requiere el plano (cifra no legible). Sin muro FE inequivoco para este eje.,BOUNDARY
LT2:302:03,LT2,2024_22-300-302-Model,302,8B,B1,ROOF,VERTICAL,DISTRIBUTED,,,,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,armadura distribuida vertical del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Sin muro FE inequivoco para este eje.,DISTRIBUTED
LT2:302:04,LT2,2024_22-300-302-Model,302,8B,B1,ROOF,HORIZONTAL,DISTRIBUTED,,,,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,armadura distribuida horizontal del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Sin muro FE inequivoco para este eje.,DISTRIBUTED
LT2:302:05,LT2,2024_22-300-302-Model,302,8B,B1,ROOF,VERTICAL,LOCAL,,,,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,"refuerzos locales en encuentros con vigas/losas, empalmes/anclajes y arranques desde fundacion; detalles puntuales requieren el plano. Sin muro FE inequivoco para este eje.",LOCAL
LT2:302:06,LT2,2024_22-300-302-Model,302,3,B1,L3,VERTICAL,BOUNDARY,,,,,,borde,M004,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,borde inferior: grupos longitudinales de mayor diametro (respecto de los superiores); arranques desde la fundacion presentes; cifra y transicion por nivel requieren el plano.,BOUNDARY
LT2:302:07,LT2,2024_22-300-302-Model,302,3,L3,ROOF,VERTICAL,BOUNDARY,,22,,,,borde,M004,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,borde superior: grupos longitudinales B22; cantidad exacta por nivel requiere el plano (cifra no legible).,BOUNDARY
LT2:302:08,LT2,2024_22-300-302-Model,302,3,B1,ROOF,VERTICAL,DISTRIBUTED,,,,,,,M004,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,armadura distribuida vertical del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado.,DISTRIBUTED
LT2:302:09,LT2,2024_22-300-302-Model,302,3,B1,ROOF,HORIZONTAL,DISTRIBUTED,,,,,,,M004,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,armadura distribuida horizontal del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado.,DISTRIBUTED
LT2:302:10,LT2,2024_22-300-302-Model,302,3,B1,ROOF,VERTICAL,LOCAL,,,,,,,M004,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,"refuerzos locales en encuentros con vigas/losas, empalmes/anclajes y arranques desde fundacion; detalles puntuales requieren el plano.",LOCAL
LT2:302:11,LT2,2024_22-300-302-Model,302,8A,B1,L3,VERTICAL,BOUNDARY,,,,,,borde,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,borde inferior: grupos longitudinales de mayor diametro (respecto de los superiores); arranques desde la fundacion presentes; cifra y transicion por nivel requieren el plano. Sin muro FE inequivoco para este eje.,BOUNDARY
LT2:302:12,LT2,2024_22-300-302-Model,302,8A,L3,ROOF,VERTICAL,BOUNDARY,,22,,,,borde,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,borde superior: grupos longitudinales B22; cantidad exacta por nivel requiere el plano (cifra no legible). Sin muro FE inequivoco para este eje.,BOUNDARY
LT2:302:13,LT2,2024_22-300-302-Model,302,8A,B1,ROOF,VERTICAL,DISTRIBUTED,,,,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,armadura distribuida vertical del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Sin muro FE inequivoco para este eje.,DISTRIBUTED
LT2:302:14,LT2,2024_22-300-302-Model,302,8A,B1,ROOF,HORIZONTAL,DISTRIBUTED,,,,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,armadura distribuida horizontal del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Sin muro FE inequivoco para este eje.,DISTRIBUTED
LT2:302:15,LT2,2024_22-300-302-Model,302,8A,B1,ROOF,VERTICAL,LOCAL,,,,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,"refuerzos locales en encuentros con vigas/losas, empalmes/anclajes y arranques desde fundacion; detalles puntuales requieren el plano. Sin muro FE inequivoco para este eje.",LOCAL
LT2:303:01,LT2,2024_22-300-303-Model,303,A',B1,L3,VERTICAL,BOUNDARY,,,,,,borde,M001;M003,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,borde inferior: grupos longitudinales de mayor diametro (respecto de los superiores); arranques desde la fundacion presentes; cifra y transicion por nivel requieren el plano.,BOUNDARY
LT2:303:02,LT2,2024_22-300-303-Model,303,A',L3,ROOF,VERTICAL,BOUNDARY,,22,,,,borde,M001;M003,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,borde superior: grupos longitudinales B22; cantidad exacta por nivel requiere el plano (cifra no legible).,BOUNDARY
LT2:303:03,LT2,2024_22-300-303-Model,303,A',B1,ROOF,VERTICAL,DISTRIBUTED,,,,,,,M001;M003,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,armadura distribuida vertical del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado.,DISTRIBUTED
LT2:303:04,LT2,2024_22-300-303-Model,303,A',B1,ROOF,HORIZONTAL,DISTRIBUTED,,,,,,,M001;M003,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,armadura distribuida horizontal del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado.,DISTRIBUTED
LT2:303:05,LT2,2024_22-300-303-Model,303,A',B1,ROOF,VERTICAL,LOCAL,,,,,,,M001;M003,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,"refuerzos locales en encuentros con vigas/losas, empalmes/anclajes y arranques desde fundacion; detalles puntuales requieren el plano.",LOCAL
LT2:303:06,LT2,2024_22-300-303-Model,303,A,B1,L3,VERTICAL,BOUNDARY,,,,,,borde,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,borde inferior: grupos longitudinales de mayor diametro (respecto de los superiores); arranques desde la fundacion presentes; cifra y transicion por nivel requieren el plano. Sin muro FE inequivoco para este eje.,BOUNDARY
LT2:303:07,LT2,2024_22-300-303-Model,303,A,L3,ROOF,VERTICAL,BOUNDARY,,22,,,,borde,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,borde superior: grupos longitudinales B22; cantidad exacta por nivel requiere el plano (cifra no legible). Sin muro FE inequivoco para este eje.,BOUNDARY
LT2:303:08,LT2,2024_22-300-303-Model,303,A,B1,ROOF,VERTICAL,DISTRIBUTED,,,,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,armadura distribuida vertical del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Sin muro FE inequivoco para este eje.,DISTRIBUTED
LT2:303:09,LT2,2024_22-300-303-Model,303,A,B1,ROOF,HORIZONTAL,DISTRIBUTED,,,,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,armadura distribuida horizontal del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Sin muro FE inequivoco para este eje.,DISTRIBUTED
LT2:303:10,LT2,2024_22-300-303-Model,303,A,B1,ROOF,VERTICAL,LOCAL,,,,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,"refuerzos locales en encuentros con vigas/losas, empalmes/anclajes y arranques desde fundacion; detalles puntuales requieren el plano. Sin muro FE inequivoco para este eje.",LOCAL
LT2:304:01,LT2,2024_22-300-304-Model,304,B',B1,L3,VERTICAL,BOUNDARY,,,,,,borde,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,borde inferior: grupos longitudinales de mayor diametro (respecto de los superiores); arranques desde la fundacion presentes; cifra y transicion por nivel requieren el plano. Sin muro FE inequivoco para este eje.,BOUNDARY
LT2:304:02,LT2,2024_22-300-304-Model,304,B',L3,ROOF,VERTICAL,BOUNDARY,,22,,,,borde,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,borde superior: grupos longitudinales B22; cantidad exacta por nivel requiere el plano (cifra no legible). Sin muro FE inequivoco para este eje.,BOUNDARY
LT2:304:03,LT2,2024_22-300-304-Model,304,B',B1,ROOF,VERTICAL,DISTRIBUTED,,,,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,armadura distribuida vertical del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Sin muro FE inequivoco para este eje.,DISTRIBUTED
LT2:304:04,LT2,2024_22-300-304-Model,304,B',B1,ROOF,HORIZONTAL,DISTRIBUTED,,,,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,armadura distribuida horizontal del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Sin muro FE inequivoco para este eje.,DISTRIBUTED
LT2:304:05,LT2,2024_22-300-304-Model,304,B',B1,ROOF,VERTICAL,LOCAL,,,,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,"refuerzos locales en encuentros con vigas/losas, empalmes/anclajes y arranques desde fundacion; detalles puntuales requieren el plano. Sin muro FE inequivoco para este eje.",LOCAL
LT2:304:06,LT2,2024_22-300-304-Model,304,B,B1,L3,VERTICAL,BOUNDARY,,,,,,borde,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,borde inferior: grupos longitudinales de mayor diametro (respecto de los superiores); arranques desde la fundacion presentes; cifra y transicion por nivel requieren el plano. Sin muro FE inequivoco para este eje.,BOUNDARY
LT2:304:07,LT2,2024_22-300-304-Model,304,B,L3,ROOF,VERTICAL,BOUNDARY,,22,,,,borde,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,borde superior: grupos longitudinales B22; cantidad exacta por nivel requiere el plano (cifra no legible). Sin muro FE inequivoco para este eje.,BOUNDARY
LT2:304:08,LT2,2024_22-300-304-Model,304,B,B1,ROOF,VERTICAL,DISTRIBUTED,,,,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,armadura distribuida vertical del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Sin muro FE inequivoco para este eje.,DISTRIBUTED
LT2:304:09,LT2,2024_22-300-304-Model,304,B,B1,ROOF,HORIZONTAL,DISTRIBUTED,,,,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,armadura distribuida horizontal del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Sin muro FE inequivoco para este eje.,DISTRIBUTED
LT2:304:10,LT2,2024_22-300-304-Model,304,B,B1,ROOF,VERTICAL,LOCAL,,,,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,"refuerzos locales en encuentros con vigas/losas, empalmes/anclajes y arranques desde fundacion; detalles puntuales requieren el plano. Sin muro FE inequivoco para este eje.",LOCAL
LT2:304:11,LT2,2024_22-300-304-Model,304,E1,B1,L3,VERTICAL,BOUNDARY,,,,,,borde,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,borde inferior: grupos longitudinales de mayor diametro (respecto de los superiores); arranques desde la fundacion presentes; cifra y transicion por nivel requieren el plano. Sin muro FE inequivoco para este eje.,BOUNDARY
LT2:304:12,LT2,2024_22-300-304-Model,304,E1,L3,ROOF,VERTICAL,BOUNDARY,,22,,,,borde,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,borde superior: grupos longitudinales B22; cantidad exacta por nivel requiere el plano (cifra no legible). Sin muro FE inequivoco para este eje.,BOUNDARY
LT2:304:13,LT2,2024_22-300-304-Model,304,E1,B1,ROOF,VERTICAL,DISTRIBUTED,,,,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,armadura distribuida vertical del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Sin muro FE inequivoco para este eje.,DISTRIBUTED
LT2:304:14,LT2,2024_22-300-304-Model,304,E1,B1,ROOF,HORIZONTAL,DISTRIBUTED,,,,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,armadura distribuida horizontal del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Sin muro FE inequivoco para este eje.,DISTRIBUTED
LT2:304:15,LT2,2024_22-300-304-Model,304,E1,B1,ROOF,VERTICAL,LOCAL,,,,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,"refuerzos locales en encuentros con vigas/losas, empalmes/anclajes y arranques desde fundacion; detalles puntuales requieren el plano. Sin muro FE inequivoco para este eje.",LOCAL
LT2:304:16,LT2,2024_22-300-304-Model,304,C',B1,L3,VERTICAL,BOUNDARY,,,,,,borde,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,borde inferior: grupos longitudinales de mayor diametro (respecto de los superiores); arranques desde la fundacion presentes; cifra y transicion por nivel requieren el plano. Sin muro FE inequivoco para este eje.,BOUNDARY
LT2:304:17,LT2,2024_22-300-304-Model,304,C',L3,ROOF,VERTICAL,BOUNDARY,,22,,,,borde,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,borde superior: grupos longitudinales B22; cantidad exacta por nivel requiere el plano (cifra no legible). Sin muro FE inequivoco para este eje.,BOUNDARY
LT2:304:18,LT2,2024_22-300-304-Model,304,C',B1,ROOF,VERTICAL,DISTRIBUTED,,,,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,armadura distribuida vertical del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Sin muro FE inequivoco para este eje.,DISTRIBUTED
LT2:304:19,LT2,2024_22-300-304-Model,304,C',B1,ROOF,HORIZONTAL,DISTRIBUTED,,,,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,armadura distribuida horizontal del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Sin muro FE inequivoco para este eje.,DISTRIBUTED
LT2:304:20,LT2,2024_22-300-304-Model,304,C',B1,ROOF,VERTICAL,LOCAL,,,,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,"refuerzos locales en encuentros con vigas/losas, empalmes/anclajes y arranques desde fundacion; detalles puntuales requieren el plano. Sin muro FE inequivoco para este eje.",LOCAL
LT2:305:01,LT2,2024_22-300-305-Model,305,D-D',B1,L3,VERTICAL,BOUNDARY,,,,,,borde,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,borde inferior: grupos longitudinales de mayor diametro (respecto de los superiores); arranques desde la fundacion presentes; cifra y transicion por nivel requieren el plano. Sin muro FE inequivoco para este eje.,BOUNDARY
LT2:305:02,LT2,2024_22-300-305-Model,305,D-D',L3,ROOF,VERTICAL,BOUNDARY,,22,,,,borde,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,borde superior: grupos longitudinales B22; cantidad exacta por nivel requiere el plano (cifra no legible). Sin muro FE inequivoco para este eje.,BOUNDARY
LT2:305:03,LT2,2024_22-300-305-Model,305,D-D',B1,ROOF,VERTICAL,DISTRIBUTED,,,,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,armadura distribuida vertical del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Sin muro FE inequivoco para este eje.,DISTRIBUTED
LT2:305:04,LT2,2024_22-300-305-Model,305,D-D',B1,ROOF,HORIZONTAL,DISTRIBUTED,,,,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,armadura distribuida horizontal del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Sin muro FE inequivoco para este eje.,DISTRIBUTED
LT2:305:05,LT2,2024_22-300-305-Model,305,D-D',B1,ROOF,VERTICAL,LOCAL,,,,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,"refuerzos locales en encuentros con vigas/losas, empalmes/anclajes y arranques desde fundacion; detalles puntuales requieren el plano. Sin muro FE inequivoco para este eje.",LOCAL
LT2:305:06,LT2,2024_22-300-305-Model,305,C,B1,L3,VERTICAL,BOUNDARY,,,,,,borde,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,borde inferior: grupos longitudinales de mayor diametro (respecto de los superiores); arranques desde la fundacion presentes; cifra y transicion por nivel requieren el plano. Sin muro FE inequivoco para este eje.,BOUNDARY
LT2:305:07,LT2,2024_22-300-305-Model,305,C,L3,ROOF,VERTICAL,BOUNDARY,,22,,,,borde,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,borde superior: grupos longitudinales B22; cantidad exacta por nivel requiere el plano (cifra no legible). Sin muro FE inequivoco para este eje.,BOUNDARY
LT2:305:08,LT2,2024_22-300-305-Model,305,C,B1,ROOF,VERTICAL,DISTRIBUTED,,,,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,armadura distribuida vertical del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Sin muro FE inequivoco para este eje.,DISTRIBUTED
LT2:305:09,LT2,2024_22-300-305-Model,305,C,B1,ROOF,HORIZONTAL,DISTRIBUTED,,,,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,armadura distribuida horizontal del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Sin muro FE inequivoco para este eje.,DISTRIBUTED
LT2:305:10,LT2,2024_22-300-305-Model,305,C,B1,ROOF,VERTICAL,LOCAL,,,,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,True,RESOLVED_METADATA,"refuerzos locales en encuentros con vigas/losas, empalmes/anclajes y arranques desde fundacion; detalles puntuales requieren el plano. Sin muro FE inequivoco para este eje.",LOCAL
