code,sheet,drawing,elevation,axis,level_start,level_end,classification,bar_count,diameter_mm,spacing_cm,length_cm,status,resolution,geometry_pending,note
LT1:300:11,300,2017_67-300-Model,300,E,PISO_1S,CUBIERTA,DISTRIBUTED_VERTICAL,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,armadura distribuida vertical del alma; diametro/espaciamiento no legibles en el PDF -> sin valores inventados.
LT1:300:12,300,2017_67-300-Model,300,E,PISO_1S,CUBIERTA,DISTRIBUTED_HORIZONTAL,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,armadura distribuida horizontal del alma; diametro/espaciamiento no legibles en el PDF -> sin valores inventados.
LT1:300:13,300,2017_67-300-Model,300,E,PISO_1S,CUBIERTA,LOCAL,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,"refuerzos locales en encuentros viga-muro/losa, anclajes y detalles de extremos; posicion y valores no legibles -> confirmar. Refuerzos alrededor de vigas (zonas VI/VF) cuando corresponden."
LT1:300:14,300,2017_67-300-Model,300,E,FUNDACION_SUP,PISO_1S,STARTER,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,refuerzo de arranque desde fundacion; cantidad/diametro/longitud de desarrollo no legibles -> confirmar.
LT1:300:15,300,2017_67-300-Model,300,E,PISO_1S,PISO_1,LAP,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,empalme de barra por nivel; longitud de empalme y ubicacion no legibles -> confirmar. PISO_1S-PISO_1.
LT1:300:16,300,2017_67-300-Model,300,E,PISO_1,PISO_2,LAP,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,empalme de barra por nivel; longitud de empalme y ubicacion no legibles -> confirmar. PISO_1-PISO_2.
LT1:300:17,300,2017_67-300-Model,300,E,PISO_2,PISO_3,LAP,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,empalme de barra por nivel; longitud de empalme y ubicacion no legibles -> confirmar. PISO_2-PISO_3.
LT1:300:18,300,2017_67-300-Model,300,E,PISO_3,PISO_4,LAP,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,empalme de barra por nivel; longitud de empalme y ubicacion no legibles -> confirmar. PISO_3-PISO_4.
LT1:300:19,300,2017_67-300-Model,300,F,PISO_1S,CUBIERTA,BOUNDARY,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,grupos de barras longitudinales de borde con cambios de cantidad y/o diametro entre pisos; cantidad/diametro y transiciones por nivel NO legibles en el PDF -> confirmar en pliego (no se infieren).
LT1:300:20,300,2017_67-300-Model,300,F,PISO_1S,CUBIERTA,DISTRIBUTED_VERTICAL,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,armadura distribuida vertical del alma; diametro/espaciamiento no legibles en el PDF -> sin valores inventados.
LT1:300:21,300,2017_67-300-Model,300,F,PISO_1S,CUBIERTA,DISTRIBUTED_HORIZONTAL,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,armadura distribuida horizontal del alma; diametro/espaciamiento no legibles en el PDF -> sin valores inventados.
LT1:300:22,300,2017_67-300-Model,300,F,PISO_1S,CUBIERTA,LOCAL,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,"refuerzos locales en encuentros viga-muro/losa, anclajes y detalles de extremos; posicion y valores no legibles -> confirmar. Refuerzos alrededor de vigas (zonas VI/VF) cuando corresponden."
LT1:300:23,300,2017_67-300-Model,300,F,FUNDACION_SUP,PISO_1S,STARTER,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,refuerzo de arranque desde fundacion; cantidad/diametro/longitud de desarrollo no legibles -> confirmar.
LT1:300:24,300,2017_67-300-Model,300,F,PISO_1S,PISO_1,LAP,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,empalme de barra por nivel; longitud de empalme y ubicacion no legibles -> confirmar. PISO_1S-PISO_1.
LT1:300:25,300,2017_67-300-Model,300,F,PISO_1,PISO_2,LAP,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,empalme de barra por nivel; longitud de empalme y ubicacion no legibles -> confirmar. PISO_1-PISO_2.
LT1:300:26,300,2017_67-300-Model,300,F,PISO_2,PISO_3,LAP,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,empalme de barra por nivel; longitud de empalme y ubicacion no legibles -> confirmar. PISO_2-PISO_3.
LT1:300:27,300,2017_67-300-Model,300,F,PISO_3,PISO_4,LAP,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,empalme de barra por nivel; longitud de empalme y ubicacion no legibles -> confirmar. PISO_3-PISO_4.
LT1:300:28,300,2017_67-300-Model,300,F',PISO_1S,CUBIERTA,BOUNDARY,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,grupos de barras longitudinales de borde con cambios de cantidad y/o diametro entre pisos; cantidad/diametro y transiciones por nivel NO legibles en el PDF -> confirmar en pliego (no se infieren).
LT1:300:29,300,2017_67-300-Model,300,F',PISO_1S,CUBIERTA,DISTRIBUTED_VERTICAL,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,armadura distribuida vertical del alma; diametro/espaciamiento no legibles en el PDF -> sin valores inventados.
LT1:300:30,300,2017_67-300-Model,300,F',PISO_1S,CUBIERTA,DISTRIBUTED_HORIZONTAL,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,armadura distribuida horizontal del alma; diametro/espaciamiento no legibles en el PDF -> sin valores inventados.
LT1:300:31,300,2017_67-300-Model,300,F',PISO_1S,CUBIERTA,LOCAL,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,"refuerzos locales en encuentros viga-muro/losa, anclajes y detalles de extremos; posicion y valores no legibles -> confirmar. Refuerzos alrededor de vigas (zonas VI/VF) cuando corresponden."
LT1:300:32,300,2017_67-300-Model,300,F',FUNDACION_SUP,PISO_1S,STARTER,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,refuerzo de arranque desde fundacion; cantidad/diametro/longitud de desarrollo no legibles -> confirmar.
LT1:300:33,300,2017_67-300-Model,300,F',PISO_1S,PISO_1,LAP,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,empalme de barra por nivel; longitud de empalme y ubicacion no legibles -> confirmar. PISO_1S-PISO_1.
LT1:300:34,300,2017_67-300-Model,300,F',PISO_1,PISO_2,LAP,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,empalme de barra por nivel; longitud de empalme y ubicacion no legibles -> confirmar. PISO_1-PISO_2.
LT1:300:35,300,2017_67-300-Model,300,F',PISO_2,PISO_3,LAP,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,empalme de barra por nivel; longitud de empalme y ubicacion no legibles -> confirmar. PISO_2-PISO_3.
LT1:300:36,300,2017_67-300-Model,300,F',PISO_3,PISO_4,LAP,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,empalme de barra por nivel; longitud de empalme y ubicacion no legibles -> confirmar. PISO_3-PISO_4.
LT1:300:37,300,2017_67-300-Model,300,G,PISO_1S,CUBIERTA,BOUNDARY,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,grupos de barras longitudinales de borde con cambios de cantidad y/o diametro entre pisos; cantidad/diametro y transiciones por nivel NO legibles en el PDF -> confirmar en pliego (no se infieren).
LT1:300:38,300,2017_67-300-Model,300,G,PISO_1S,CUBIERTA,DISTRIBUTED_VERTICAL,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,armadura distribuida vertical del alma; diametro/espaciamiento no legibles en el PDF -> sin valores inventados.
LT1:300:39,300,2017_67-300-Model,300,G,PISO_1S,CUBIERTA,DISTRIBUTED_HORIZONTAL,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,armadura distribuida horizontal del alma; diametro/espaciamiento no legibles en el PDF -> sin valores inventados.
LT1:300:40,300,2017_67-300-Model,300,G,PISO_1S,CUBIERTA,LOCAL,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,"refuerzos locales en encuentros viga-muro/losa, anclajes y detalles de extremos; posicion y valores no legibles -> confirmar. Refuerzos alrededor de vigas (zonas VI/VF) cuando corresponden."
LT1:300:41,300,2017_67-300-Model,300,G,FUNDACION_SUP,PISO_1S,STARTER,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,refuerzo de arranque desde fundacion; cantidad/diametro/longitud de desarrollo no legibles -> confirmar.
LT1:300:42,300,2017_67-300-Model,300,G,PISO_1S,PISO_1,LAP,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,empalme de barra por nivel; longitud de empalme y ubicacion no legibles -> confirmar. PISO_1S-PISO_1.
LT1:300:43,300,2017_67-300-Model,300,G,PISO_1,PISO_2,LAP,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,empalme de barra por nivel; longitud de empalme y ubicacion no legibles -> confirmar. PISO_1-PISO_2.
LT1:300:44,300,2017_67-300-Model,300,G,PISO_2,PISO_3,LAP,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,empalme de barra por nivel; longitud de empalme y ubicacion no legibles -> confirmar. PISO_2-PISO_3.
LT1:300:45,300,2017_67-300-Model,300,G,PISO_3,PISO_4,LAP,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,empalme de barra por nivel; longitud de empalme y ubicacion no legibles -> confirmar. PISO_3-PISO_4.
LT1:300:46,300,2017_67-300-Model,300,H,PISO_1S,CUBIERTA,BOUNDARY,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,grupos de barras longitudinales de borde con cambios de cantidad y/o diametro entre pisos; cantidad/diametro y transiciones por nivel NO legibles en el PDF -> confirmar en pliego (no se infieren).
LT1:300:47,300,2017_67-300-Model,300,H,PISO_1S,CUBIERTA,DISTRIBUTED_VERTICAL,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,armadura distribuida vertical del alma; diametro/espaciamiento no legibles en el PDF -> sin valores inventados.
LT1:300:48,300,2017_67-300-Model,300,H,PISO_1S,CUBIERTA,DISTRIBUTED_HORIZONTAL,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,armadura distribuida horizontal del alma; diametro/espaciamiento no legibles en el PDF -> sin valores inventados.
LT1:300:49,300,2017_67-300-Model,300,H,PISO_1S,CUBIERTA,LOCAL,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,"refuerzos locales en encuentros viga-muro/losa, anclajes y detalles de extremos; posicion y valores no legibles -> confirmar. Refuerzos alrededor de vigas (zonas VI/VF) cuando corresponden."
LT1:300:50,300,2017_67-300-Model,300,H,FUNDACION_SUP,PISO_1S,STARTER,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,refuerzo de arranque desde fundacion; cantidad/diametro/longitud de desarrollo no legibles -> confirmar.
LT1:300:51,300,2017_67-300-Model,300,H,PISO_1S,PISO_1,LAP,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,empalme de barra por nivel; longitud de empalme y ubicacion no legibles -> confirmar. PISO_1S-PISO_1.
LT1:300:52,300,2017_67-300-Model,300,H,PISO_1,PISO_2,LAP,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,empalme de barra por nivel; longitud de empalme y ubicacion no legibles -> confirmar. PISO_1-PISO_2.
LT1:300:53,300,2017_67-300-Model,300,H,PISO_2,PISO_3,LAP,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,empalme de barra por nivel; longitud de empalme y ubicacion no legibles -> confirmar. PISO_2-PISO_3.
LT1:300:54,300,2017_67-300-Model,300,H,PISO_3,PISO_4,LAP,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,empalme de barra por nivel; longitud de empalme y ubicacion no legibles -> confirmar. PISO_3-PISO_4.
LT1:300:55,300,2017_67-300-Model,300,I,PISO_1S,CUBIERTA,BOUNDARY,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,grupos de barras longitudinales de borde con cambios de cantidad y/o diametro entre pisos; cantidad/diametro y transiciones por nivel NO legibles en el PDF -> confirmar en pliego (no se infieren).
LT1:300:56,300,2017_67-300-Model,300,I,PISO_1S,CUBIERTA,DISTRIBUTED_VERTICAL,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,armadura distribuida vertical del alma; diametro/espaciamiento no legibles en el PDF -> sin valores inventados.
LT1:300:57,300,2017_67-300-Model,300,I,PISO_1S,CUBIERTA,DISTRIBUTED_HORIZONTAL,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,armadura distribuida horizontal del alma; diametro/espaciamiento no legibles en el PDF -> sin valores inventados.
LT1:300:58,300,2017_67-300-Model,300,I,PISO_1S,CUBIERTA,LOCAL,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,"refuerzos locales en encuentros viga-muro/losa, anclajes y detalles de extremos; posicion y valores no legibles -> confirmar. Refuerzos alrededor de vigas (zonas VI/VF) cuando corresponden."
LT1:300:59,300,2017_67-300-Model,300,I,FUNDACION_SUP,PISO_1S,STARTER,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,refuerzo de arranque desde fundacion; cantidad/diametro/longitud de desarrollo no legibles -> confirmar.
LT1:300:60,300,2017_67-300-Model,300,I,PISO_1S,PISO_1,LAP,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,empalme de barra por nivel; longitud de empalme y ubicacion no legibles -> confirmar. PISO_1S-PISO_1.
LT1:300:61,300,2017_67-300-Model,300,I,PISO_1,PISO_2,LAP,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,empalme de barra por nivel; longitud de empalme y ubicacion no legibles -> confirmar. PISO_1-PISO_2.
LT1:300:62,300,2017_67-300-Model,300,I,PISO_2,PISO_3,LAP,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,empalme de barra por nivel; longitud de empalme y ubicacion no legibles -> confirmar. PISO_2-PISO_3.
LT1:300:63,300,2017_67-300-Model,300,I,PISO_3,PISO_4,LAP,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,empalme de barra por nivel; longitud de empalme y ubicacion no legibles -> confirmar. PISO_3-PISO_4.
LT1:300:64,300,2017_67-300-Model,300,I',PISO_1S,CUBIERTA,BOUNDARY,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,grupos de barras longitudinales de borde con cambios de cantidad y/o diametro entre pisos; cantidad/diametro y transiciones por nivel NO legibles en el PDF -> confirmar en pliego (no se infieren).
LT1:300:65,300,2017_67-300-Model,300,I',PISO_1S,CUBIERTA,DISTRIBUTED_VERTICAL,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,armadura distribuida vertical del alma; diametro/espaciamiento no legibles en el PDF -> sin valores inventados.
LT1:300:66,300,2017_67-300-Model,300,I',PISO_1S,CUBIERTA,DISTRIBUTED_HORIZONTAL,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,armadura distribuida horizontal del alma; diametro/espaciamiento no legibles en el PDF -> sin valores inventados.
LT1:300:67,300,2017_67-300-Model,300,I',PISO_1S,CUBIERTA,LOCAL,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,"refuerzos locales en encuentros viga-muro/losa, anclajes y detalles de extremos; posicion y valores no legibles -> confirmar. Refuerzos alrededor de vigas (zonas VI/VF) cuando corresponden."
LT1:300:68,300,2017_67-300-Model,300,I',FUNDACION_SUP,PISO_1S,STARTER,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,refuerzo de arranque desde fundacion; cantidad/diametro/longitud de desarrollo no legibles -> confirmar.
LT1:300:69,300,2017_67-300-Model,300,I',PISO_1S,PISO_1,LAP,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,empalme de barra por nivel; longitud de empalme y ubicacion no legibles -> confirmar. PISO_1S-PISO_1.
LT1:300:70,300,2017_67-300-Model,300,I',PISO_1,PISO_2,LAP,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,empalme de barra por nivel; longitud de empalme y ubicacion no legibles -> confirmar. PISO_1-PISO_2.
LT1:300:71,300,2017_67-300-Model,300,I',PISO_2,PISO_3,LAP,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,empalme de barra por nivel; longitud de empalme y ubicacion no legibles -> confirmar. PISO_2-PISO_3.
LT1:300:72,300,2017_67-300-Model,300,I',PISO_3,PISO_4,LAP,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,empalme de barra por nivel; longitud de empalme y ubicacion no legibles -> confirmar. PISO_3-PISO_4.
LT1:300:73,300,2017_67-300-Model,300,J,PISO_1S,CUBIERTA,BOUNDARY,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,grupos de barras longitudinales de borde con cambios de cantidad y/o diametro entre pisos; cantidad/diametro y transiciones por nivel NO legibles en el PDF -> confirmar en pliego (no se infieren).
LT1:300:74,300,2017_67-300-Model,300,J,PISO_1S,CUBIERTA,DISTRIBUTED_VERTICAL,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,armadura distribuida vertical del alma; diametro/espaciamiento no legibles en el PDF -> sin valores inventados.
LT1:300:75,300,2017_67-300-Model,300,J,PISO_1S,CUBIERTA,DISTRIBUTED_HORIZONTAL,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,armadura distribuida horizontal del alma; diametro/espaciamiento no legibles en el PDF -> sin valores inventados.
LT1:300:76,300,2017_67-300-Model,300,J,PISO_1S,CUBIERTA,LOCAL,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,"refuerzos locales en encuentros viga-muro/losa, anclajes y detalles de extremos; posicion y valores no legibles -> confirmar. Refuerzos alrededor de vigas (zonas VI/VF) cuando corresponden."
LT1:300:77,300,2017_67-300-Model,300,J,FUNDACION_SUP,PISO_1S,STARTER,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,refuerzo de arranque desde fundacion; cantidad/diametro/longitud de desarrollo no legibles -> confirmar.
LT1:300:78,300,2017_67-300-Model,300,J,PISO_1S,PISO_1,LAP,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,empalme de barra por nivel; longitud de empalme y ubicacion no legibles -> confirmar. PISO_1S-PISO_1.
LT1:300:79,300,2017_67-300-Model,300,J,PISO_1,PISO_2,LAP,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,empalme de barra por nivel; longitud de empalme y ubicacion no legibles -> confirmar. PISO_1-PISO_2.
LT1:300:80,300,2017_67-300-Model,300,J,PISO_2,PISO_3,LAP,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,empalme de barra por nivel; longitud de empalme y ubicacion no legibles -> confirmar. PISO_2-PISO_3.
LT1:300:81,300,2017_67-300-Model,300,J,PISO_3,PISO_4,LAP,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,empalme de barra por nivel; longitud de empalme y ubicacion no legibles -> confirmar. PISO_3-PISO_4.
LT1:300:82,300,2017_67-300-Model,300,CORTE A,,,LOCAL,,,,,DETAIL_FROM_DRAWING_REQUIRED,RESOLVED_METADATA,True,CORTE A del plano 300 (detalle de seccion): distribucion transversal / refuerzo especial. Valores no legibles -> DETAIL_FROM_DRAWING_REQUIRED (no se modela sin el detalle).
LT1:301:01,301,2017_67-301-Model,301,1'',PISO_1S,PISO_4,BOUNDARY,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,grupos de barras longitudinales de borde con cambios de cantidad y/o diametro entre pisos; cantidad/diametro y transiciones por nivel NO legibles en el PDF -> confirmar en pliego (no se infieren). El eje se extiende por varios pisos con cambios de armadura a lo largo de la altura; limites exactos por nivel requieren el plano.
LT1:301:02,301,2017_67-301-Model,301,1'',PISO_1S,PISO_4,DISTRIBUTED_VERTICAL,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,armadura distribuida vertical del alma; diametro/espaciamiento no legibles en el PDF -> sin valores inventados.
LT1:301:03,301,2017_67-301-Model,301,1'',PISO_1S,PISO_4,DISTRIBUTED_HORIZONTAL,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,armadura distribuida horizontal del alma; diametro/espaciamiento no legibles en el PDF -> sin valores inventados.
LT1:301:04,301,2017_67-301-Model,301,1'',PISO_1S,PISO_4,LOCAL,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,"refuerzos locales en encuentros viga-muro/losa, anclajes y detalles de extremos; posicion y valores no legibles -> confirmar. Anotaciones legibles del plano: V.F. 15/225 ; V. 15/125 ; V. 15/VAR ; V. 20/80."
LT1:301:05,301,2017_67-301-Model,301,1'',FUNDACION_SUP,PISO_1S,STARTER,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,refuerzo de arranque desde fundacion; cantidad/diametro/longitud de desarrollo no legibles -> confirmar.
LT1:301:06,301,2017_67-301-Model,301,1'',PISO_1S,PISO_1,LAP,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,empalme de barra por nivel; longitud de empalme y ubicacion no legibles -> confirmar. PISO_1S-PISO_1.
LT1:301:07,301,2017_67-301-Model,301,1'',PISO_1,PISO_2,LAP,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,empalme de barra por nivel; longitud de empalme y ubicacion no legibles -> confirmar. PISO_1-PISO_2.
LT1:301:08,301,2017_67-301-Model,301,1'',PISO_2,PISO_3,LAP,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,empalme de barra por nivel; longitud de empalme y ubicacion no legibles -> confirmar. PISO_2-PISO_3.
LT1:301:09,301,2017_67-301-Model,301,1'',PISO_3,PISO_4,LAP,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,empalme de barra por nivel; longitud de empalme y ubicacion no legibles -> confirmar. PISO_3-PISO_4.
LT1:301:10,301,2017_67-301-Model,301,1A,PISO_1,,SPECIAL_GEOMETRY,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,muro de geometria variable/inclinada; NO se aproxima a un muro rectangular tipico y su armadura no se copia de muros verticales (geometry_special=True). Marcador de nivel legible: 1° (PISO_1).
LT1:301:11,301,2017_67-301-Model,301,1A,PISO_1,,BOUNDARY,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,grupos de barras longitudinales de borde con cambios de cantidad y/o diametro entre pisos; cantidad/diametro y transiciones por nivel NO legibles en el PDF -> confirmar en pliego (no se infieren).muro de geometria variable/inclinada; NO se aproxima a un muro rectangular tipico y su armadura no se copia de muros verticales (geometry_special=True).
LT1:301:12,301,2017_67-301-Model,301,1A,PISO_1,,DISTRIBUTED_VERTICAL,,,,,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,True,armadura distribuida vertical del alma; diametro/espaciamiento no legibles en el PDF -> sin valores inventados.muro de geometria variable/inclinada; NO se aproxima a un muro rectangular tipico y su armadura no se copia de muros verticales (geometry_special=True).
