code,category,drawing,sheet,status,resolution,zone_text,note
LT2:300:04,walls,2024_22-300-300-Model,300,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED,1,armadura distribuida horizontal del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Muro(s) FE del modelo: M002.
LT2:300:05,walls,2024_22-300-300-Model,300,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED,1,"refuerzos locales en encuentros con vigas/losas, empalmes/anclajes y arranques desde fundacion; detalles puntuales requieren el plano. Muro(s) FE del modelo: M002."
LT2:300:06,walls,2024_22-300-300-Model,300,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,1',borde inferior: grupos longitudinales de mayor diametro (respecto de los superiores); arranques desde la fundacion presentes; cifra y transicion por nivel requieren el plano. Sin muro FE inequivoco para este eje.
LT2:300:07,walls,2024_22-300-300-Model,300,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,1',borde superior: grupos longitudinales B22; cantidad exacta por nivel requiere el plano (cifra no legible). Sin muro FE inequivoco para este eje.
LT2:300:08,walls,2024_22-300-300-Model,300,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,1',armadura distribuida vertical del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Sin muro FE inequivoco para este eje.
LT2:300:09,walls,2024_22-300-300-Model,300,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,1',armadura distribuida horizontal del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Sin muro FE inequivoco para este eje.
LT2:300:10,walls,2024_22-300-300-Model,300,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,1',"refuerzos locales en encuentros con vigas/losas, empalmes/anclajes y arranques desde fundacion; detalles puntuales requieren el plano. Sin muro FE inequivoco para este eje."
LT2:301:01,walls,2024_22-300-301-Model,301,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,2,borde inferior: grupos longitudinales de mayor diametro (respecto de los superiores); arranques desde la fundacion presentes; cifra y transicion por nivel requieren el plano. Sin muro FE inequivoco para este eje.
LT2:301:02,walls,2024_22-300-301-Model,301,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,2,borde superior: grupos longitudinales B22; cantidad exacta por nivel requiere el plano (cifra no legible). Sin muro FE inequivoco para este eje.
LT2:301:03,walls,2024_22-300-301-Model,301,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,2,armadura distribuida vertical del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Sin muro FE inequivoco para este eje.
LT2:301:04,walls,2024_22-300-301-Model,301,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,2,armadura distribuida horizontal del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Sin muro FE inequivoco para este eje.
LT2:301:05,walls,2024_22-300-301-Model,301,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,2,"refuerzos locales en encuentros con vigas/losas, empalmes/anclajes y arranques desde fundacion; detalles puntuales requieren el plano. Sin muro FE inequivoco para este eje."
LT2:302:01,walls,2024_22-300-302-Model,302,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,8B,borde inferior: grupos longitudinales de mayor diametro (respecto de los superiores); arranques desde la fundacion presentes; cifra y transicion por nivel requieren el plano. Sin muro FE inequivoco para este eje.
LT2:302:02,walls,2024_22-300-302-Model,302,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,8B,borde superior: grupos longitudinales B22; cantidad exacta por nivel requiere el plano (cifra no legible). Sin muro FE inequivoco para este eje.
LT2:302:03,walls,2024_22-300-302-Model,302,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,8B,armadura distribuida vertical del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Sin muro FE inequivoco para este eje.
LT2:302:04,walls,2024_22-300-302-Model,302,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,8B,armadura distribuida horizontal del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Sin muro FE inequivoco para este eje.
LT2:302:05,walls,2024_22-300-302-Model,302,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,8B,"refuerzos locales en encuentros con vigas/losas, empalmes/anclajes y arranques desde fundacion; detalles puntuales requieren el plano. Sin muro FE inequivoco para este eje."
LT2:302:06,walls,2024_22-300-302-Model,302,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED,3,borde inferior: grupos longitudinales de mayor diametro (respecto de los superiores); arranques desde la fundacion presentes; cifra y transicion por nivel requieren el plano. Muro(s) FE del modelo: M004.
LT2:302:07,walls,2024_22-300-302-Model,302,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED,3,borde superior: grupos longitudinales B22; cantidad exacta por nivel requiere el plano (cifra no legible). Muro(s) FE del modelo: M004.
LT2:302:08,walls,2024_22-300-302-Model,302,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED,3,armadura distribuida vertical del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Muro(s) FE del modelo: M004.
LT2:302:09,walls,2024_22-300-302-Model,302,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED,3,armadura distribuida horizontal del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Muro(s) FE del modelo: M004.
LT2:302:10,walls,2024_22-300-302-Model,302,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED,3,"refuerzos locales en encuentros con vigas/losas, empalmes/anclajes y arranques desde fundacion; detalles puntuales requieren el plano. Muro(s) FE del modelo: M004."
LT2:302:11,walls,2024_22-300-302-Model,302,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,8A,borde inferior: grupos longitudinales de mayor diametro (respecto de los superiores); arranques desde la fundacion presentes; cifra y transicion por nivel requieren el plano. Sin muro FE inequivoco para este eje.
LT2:302:12,walls,2024_22-300-302-Model,302,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,8A,borde superior: grupos longitudinales B22; cantidad exacta por nivel requiere el plano (cifra no legible). Sin muro FE inequivoco para este eje.
LT2:302:13,walls,2024_22-300-302-Model,302,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,8A,armadura distribuida vertical del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Sin muro FE inequivoco para este eje.
LT2:302:14,walls,2024_22-300-302-Model,302,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,8A,armadura distribuida horizontal del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Sin muro FE inequivoco para este eje.
LT2:302:15,walls,2024_22-300-302-Model,302,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,8A,"refuerzos locales en encuentros con vigas/losas, empalmes/anclajes y arranques desde fundacion; detalles puntuales requieren el plano. Sin muro FE inequivoco para este eje."
LT2:303:01,walls,2024_22-300-303-Model,303,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED,A',"borde inferior: grupos longitudinales de mayor diametro (respecto de los superiores); arranques desde la fundacion presentes; cifra y transicion por nivel requieren el plano. Muro(s) FE del modelo: M001, M003."
LT2:303:02,walls,2024_22-300-303-Model,303,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED,A',"borde superior: grupos longitudinales B22; cantidad exacta por nivel requiere el plano (cifra no legible). Muro(s) FE del modelo: M001, M003."
LT2:303:03,walls,2024_22-300-303-Model,303,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED,A',"armadura distribuida vertical del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Muro(s) FE del modelo: M001, M003."
LT2:303:04,walls,2024_22-300-303-Model,303,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED,A',"armadura distribuida horizontal del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Muro(s) FE del modelo: M001, M003."
LT2:303:05,walls,2024_22-300-303-Model,303,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED,A',"refuerzos locales en encuentros con vigas/losas, empalmes/anclajes y arranques desde fundacion; detalles puntuales requieren el plano. Muro(s) FE del modelo: M001, M003."
LT2:303:06,walls,2024_22-300-303-Model,303,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,A,borde inferior: grupos longitudinales de mayor diametro (respecto de los superiores); arranques desde la fundacion presentes; cifra y transicion por nivel requieren el plano. Sin muro FE inequivoco para este eje.
LT2:303:07,walls,2024_22-300-303-Model,303,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,A,borde superior: grupos longitudinales B22; cantidad exacta por nivel requiere el plano (cifra no legible). Sin muro FE inequivoco para este eje.
LT2:303:08,walls,2024_22-300-303-Model,303,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,A,armadura distribuida vertical del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Sin muro FE inequivoco para este eje.
LT2:303:09,walls,2024_22-300-303-Model,303,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,A,armadura distribuida horizontal del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Sin muro FE inequivoco para este eje.
LT2:303:10,walls,2024_22-300-303-Model,303,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,A,"refuerzos locales en encuentros con vigas/losas, empalmes/anclajes y arranques desde fundacion; detalles puntuales requieren el plano. Sin muro FE inequivoco para este eje."
LT2:304:01,walls,2024_22-300-304-Model,304,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,B',borde inferior: grupos longitudinales de mayor diametro (respecto de los superiores); arranques desde la fundacion presentes; cifra y transicion por nivel requieren el plano. Sin muro FE inequivoco para este eje.
LT2:304:02,walls,2024_22-300-304-Model,304,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,B',borde superior: grupos longitudinales B22; cantidad exacta por nivel requiere el plano (cifra no legible). Sin muro FE inequivoco para este eje.
LT2:304:03,walls,2024_22-300-304-Model,304,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,B',armadura distribuida vertical del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Sin muro FE inequivoco para este eje.
LT2:304:04,walls,2024_22-300-304-Model,304,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,B',armadura distribuida horizontal del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Sin muro FE inequivoco para este eje.
LT2:304:05,walls,2024_22-300-304-Model,304,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,B',"refuerzos locales en encuentros con vigas/losas, empalmes/anclajes y arranques desde fundacion; detalles puntuales requieren el plano. Sin muro FE inequivoco para este eje."
LT2:304:06,walls,2024_22-300-304-Model,304,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,B,borde inferior: grupos longitudinales de mayor diametro (respecto de los superiores); arranques desde la fundacion presentes; cifra y transicion por nivel requieren el plano. Sin muro FE inequivoco para este eje.
LT2:304:07,walls,2024_22-300-304-Model,304,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,B,borde superior: grupos longitudinales B22; cantidad exacta por nivel requiere el plano (cifra no legible). Sin muro FE inequivoco para este eje.
LT2:304:08,walls,2024_22-300-304-Model,304,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,B,armadura distribuida vertical del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Sin muro FE inequivoco para este eje.
LT2:304:09,walls,2024_22-300-304-Model,304,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,B,armadura distribuida horizontal del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Sin muro FE inequivoco para este eje.
LT2:304:10,walls,2024_22-300-304-Model,304,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,B,"refuerzos locales en encuentros con vigas/losas, empalmes/anclajes y arranques desde fundacion; detalles puntuales requieren el plano. Sin muro FE inequivoco para este eje."
LT2:304:11,walls,2024_22-300-304-Model,304,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,E1,borde inferior: grupos longitudinales de mayor diametro (respecto de los superiores); arranques desde la fundacion presentes; cifra y transicion por nivel requieren el plano. Sin muro FE inequivoco para este eje.
LT2:304:12,walls,2024_22-300-304-Model,304,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,E1,borde superior: grupos longitudinales B22; cantidad exacta por nivel requiere el plano (cifra no legible). Sin muro FE inequivoco para este eje.
LT2:304:13,walls,2024_22-300-304-Model,304,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,E1,armadura distribuida vertical del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Sin muro FE inequivoco para este eje.
LT2:304:14,walls,2024_22-300-304-Model,304,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,E1,armadura distribuida horizontal del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Sin muro FE inequivoco para este eje.
LT2:304:15,walls,2024_22-300-304-Model,304,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,E1,"refuerzos locales en encuentros con vigas/losas, empalmes/anclajes y arranques desde fundacion; detalles puntuales requieren el plano. Sin muro FE inequivoco para este eje."
LT2:304:16,walls,2024_22-300-304-Model,304,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,C',borde inferior: grupos longitudinales de mayor diametro (respecto de los superiores); arranques desde la fundacion presentes; cifra y transicion por nivel requieren el plano. Sin muro FE inequivoco para este eje.
LT2:304:17,walls,2024_22-300-304-Model,304,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,C',borde superior: grupos longitudinales B22; cantidad exacta por nivel requiere el plano (cifra no legible). Sin muro FE inequivoco para este eje.
LT2:304:18,walls,2024_22-300-304-Model,304,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,C',armadura distribuida vertical del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Sin muro FE inequivoco para este eje.
LT2:304:19,walls,2024_22-300-304-Model,304,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,C',armadura distribuida horizontal del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Sin muro FE inequivoco para este eje.
LT2:304:20,walls,2024_22-300-304-Model,304,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,C',"refuerzos locales en encuentros con vigas/losas, empalmes/anclajes y arranques desde fundacion; detalles puntuales requieren el plano. Sin muro FE inequivoco para este eje."
LT2:305:01,walls,2024_22-300-305-Model,305,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,D-D',borde inferior: grupos longitudinales de mayor diametro (respecto de los superiores); arranques desde la fundacion presentes; cifra y transicion por nivel requieren el plano. Sin muro FE inequivoco para este eje.
LT2:305:02,walls,2024_22-300-305-Model,305,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,D-D',borde superior: grupos longitudinales B22; cantidad exacta por nivel requiere el plano (cifra no legible). Sin muro FE inequivoco para este eje.
LT2:305:03,walls,2024_22-300-305-Model,305,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,D-D',armadura distribuida vertical del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Sin muro FE inequivoco para este eje.
LT2:305:04,walls,2024_22-300-305-Model,305,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,D-D',armadura distribuida horizontal del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Sin muro FE inequivoco para este eje.
LT2:305:05,walls,2024_22-300-305-Model,305,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,D-D',"refuerzos locales en encuentros con vigas/losas, empalmes/anclajes y arranques desde fundacion; detalles puntuales requieren el plano. Sin muro FE inequivoco para este eje."
LT2:305:06,walls,2024_22-300-305-Model,305,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,C,borde inferior: grupos longitudinales de mayor diametro (respecto de los superiores); arranques desde la fundacion presentes; cifra y transicion por nivel requieren el plano. Sin muro FE inequivoco para este eje.
LT2:305:07,walls,2024_22-300-305-Model,305,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,C,borde superior: grupos longitudinales B22; cantidad exacta por nivel requiere el plano (cifra no legible). Sin muro FE inequivoco para este eje.
LT2:305:08,walls,2024_22-300-305-Model,305,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,C,armadura distribuida vertical del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Sin muro FE inequivoco para este eje.
LT2:305:09,walls,2024_22-300-305-Model,305,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,C,armadura distribuida horizontal del alma; diametro/espaciamiento no legibles por elevacion -> sin valor inventado. Sin muro FE inequivoco para este eje.
LT2:305:10,walls,2024_22-300-305-Model,305,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,C,"refuerzos locales en encuentros con vigas/losas, empalmes/anclajes y arranques desde fundacion; detalles puntuales requieren el plano. Sin muro FE inequivoco para este eje."
,beams,2024_22-400-Model,400,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,,Patron observado en varios conjuntos continuos del plano 400. NO se extrapola a todas las vigas V.60/80: los beam_ids del plano no son legibles y la asociacion de cada segmento a una viga especifica queda pendiente de confirmacion. beam_id del plano NO legible: la correspondencia a elementos del modelo queda pendiente (no se asigna).
LT2:400:03,beams,2024_22-400-Model,400,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,,patron observado; apoyo izq/extremo izq. beam_id no legible.
LT2:400:04,beams,2024_22-400-Model,400,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,,patron observado; adicional extremo izq. beam_id no legible.
LT2:400:05,beams,2024_22-400-Model,400,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,,patron observado; sobre apoyo. beam_id no legible.
LT2:400:06,beams,2024_22-400-Model,400,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,,patron observado; adicional sobre apoyo. beam_id no legible.
LT2:400:07,beams,2024_22-400-Model,400,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,,patron observado; extremo derecho. beam_id no legible.
LT2:400:08,beams,2024_22-400-Model,400,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,,patron observado; adicional extremo der. beam_id no legible.
LT2:400:15,beams,2024_22-400-Model,400,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,,Familia ED Φ10@10 observada en el plano 400; extension/cantidad no legible -> NO se convierte a zona.
LT2:400:16,beams,2024_22-400-Model,400,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,,Familia ED Φ10@20 observada en el plano 400; extension/cantidad no legible -> NO se convierte a zona.
LT2:400:17,beams,2024_22-400-Model,400,NEEDS_DRAWING_VALUE_CONFIRMATION,RESOLVED_METADATA,,Familia ED Φ10@10 local (sectores puntuales del plano 400); extension no legible -> NO se convierte a zona.
LT2:500:12,stairs,2024_22-500-Model,500,DETAIL_FROM_DRAWING_REQUIRED,RESOLVED_METADATA,,"Detalles del plano 500 (separadores, empalmes, anclajes, espesores/alturas graficos). El modelo combinado NO tiene elementos de escalera: no se fabrican elementos FE. Sin elementos de escalera en el modelo LT2: registrado como metadata del plano."
