beam_id,drawing,sheet,section,kind,axes_text,group,F_base,F_top_base,F_bottom_additional,F_top_additional,longitudinal,stirrups,detail_reference,confidence,note
V108,2017_67-400-Model,400,V.60/80 (corta),SPECIAL,H'-I,,2B22 L~700,,,,"B22 predominante, barras principales L~700",ED (ver plano 002),,EXACT,V108 registrada por separado (corta H'-I).
V109,2017_67-400-Model,400,V.60/80 (corta),SPECIAL,H'-I,,2B22 L~700,,,,"B22 predominante, barras principales L~700",ED (ver plano 002),,EXACT,V109 registrada por separado (corta H'-I).
V111,2017_67-400-Model,400,V.60/80 (especial),SPECIAL,1-1AA-1A,,2B16 L~400; 4B16 L~400,,,,2B16 / 4B16 L~400,no transcrito,,EXACT,viga corta/especial: NO es familia 2B22.
V112,2017_67-400-Model,400,V.60/80 (especial),SPECIAL,3-2,,,,,,B22 y B18; refuerzos sup/inf L~400-800,detalle plano 002,TP.PLANO_002,NEEDS_DRAWING_VALUE_CONFIRMATION,encuentro especial en 3-2; no homogenizar con otras vigas.
V113,2017_67-400-Model,400,V.60/80 (especial),SPECIAL,3-2,,,,,,B22 y B18; refuerzos sup/inf L~400-800,detalle plano 002,TP.PLANO_002,NEEDS_DRAWING_VALUE_CONFIRMATION,encuentro especial en 3-2; no homogenizar con otras vigas.
V114,2017_67-400-Model,400,V.60/80 (especial),SMALL_SPECIAL_BEAM,,,?B16 L~400,,,,"B16 principalmente, barras L~400",no transcrito,,EXACT,SMALL_SPECIAL_BEAM: no reemplazar por B22.
V200,2017_67-401 (2)-Model,401 (2),V.60/80,CONTINUOUS,3-2-1,continua 3-2-1 (familia A),,,,,"viga continua 3-2-1: seccion V60/80, F/F' base 2 B22, +F/+F' 2 B22 y 4 B22 concentradas sobre apoyo eje 2, barras inferiores por tramo, longitudes diferentes por dibujo (TP1/TP4). NO todas iguales.",ED B10@10 / B10@20 ; TP1/TP4 plano 002,TP.1_PLANO_002; TP.4_PLANO_002,NEEDS_DRAWING_VALUE_CONFIRMATION,leer cada linea del plano 401; longitudes por dibujo.
V201,2017_67-401 (2)-Model,401 (2),V.60/80,CONTINUOUS,3-2-1,continua 3-2-1 (familia A),,,,,"viga continua 3-2-1: seccion V60/80, F/F' base 2 B22, +F/+F' 2 B22 y 4 B22 concentradas sobre apoyo eje 2, barras inferiores por tramo, longitudes diferentes por dibujo (TP1/TP4). NO todas iguales.",ED B10@10 / B10@20 ; TP1/TP4 plano 002,TP.1_PLANO_002; TP.4_PLANO_002,NEEDS_DRAWING_VALUE_CONFIRMATION,leer cada linea del plano 401; longitudes por dibujo.
V202,2017_67-401 (2)-Model,401 (2),V.60/80,CONTINUOUS,3-2-1,continua 3-2-1 (familia A),,,,,"viga continua 3-2-1: seccion V60/80, F/F' base 2 B22, +F/+F' 2 B22 y 4 B22 concentradas sobre apoyo eje 2, barras inferiores por tramo, longitudes diferentes por dibujo (TP1/TP4). NO todas iguales.",ED B10@10 / B10@20 ; TP1/TP4 plano 002,TP.1_PLANO_002; TP.4_PLANO_002,NEEDS_DRAWING_VALUE_CONFIRMATION,leer cada linea del plano 401; longitudes por dibujo.
V203,2017_67-401 (2)-Model,401 (2),V.60/80,CONTINUOUS,3-2-1,continua 3-2-1 (familia A),,,,,"viga continua 3-2-1: seccion V60/80, F/F' base 2 B22, +F/+F' 2 B22 y 4 B22 concentradas sobre apoyo eje 2, barras inferiores por tramo, longitudes diferentes por dibujo (TP1/TP4). NO todas iguales.",ED B10@10 / B10@20 ; TP1/TP4 plano 002,TP.1_PLANO_002; TP.4_PLANO_002,NEEDS_DRAWING_VALUE_CONFIRMATION,leer cada linea del plano 401; longitudes por dibujo.
V204,2017_67-401 (2)-Model,401 (2),V.60/80,CONTINUOUS,3-2-1,continua 3-2-1 (familia A),,,,,"viga continua 3-2-1: seccion V60/80, F/F' base 2 B22, +F/+F' 2 B22 y 4 B22 concentradas sobre apoyo eje 2, barras inferiores por tramo, longitudes diferentes por dibujo (TP1/TP4). NO todas iguales.",ED B10@10 / B10@20 ; TP1/TP4 plano 002,TP.1_PLANO_002; TP.4_PLANO_002,NEEDS_DRAWING_VALUE_CONFIRMATION,leer cada linea del plano 401; longitudes por dibujo.
V205,2017_67-401 (2)-Model,401 (2),V.60/80,CONTINUOUS,3-2-1,continua 3-2-1 (familia A),,,,,"viga continua 3-2-1: seccion V60/80, F/F' base 2 B22, +F/+F' 2 B22 y 4 B22 concentradas sobre apoyo eje 2, barras inferiores por tramo, longitudes diferentes por dibujo (TP1/TP4). NO todas iguales.",ED B10@10 / B10@20 ; TP1/TP4 plano 002,TP.1_PLANO_002; TP.4_PLANO_002,NEEDS_DRAWING_VALUE_CONFIRMATION,leer cada linea del plano 401; longitudes por dibujo.
V206,2017_67-401 (2)-Model,401 (2),V.60/80,CONTINUOUS,3-2-1,continua 3-2-1 (familia A),,,,,"viga continua 3-2-1: seccion V60/80, F/F' base 2 B22, +F/+F' 2 B22 y 4 B22 concentradas sobre apoyo eje 2, barras inferiores por tramo, longitudes diferentes por dibujo (TP1/TP4). NO todas iguales.",ED B10@10 / B10@20 ; TP1/TP4 plano 002,TP.1_PLANO_002; TP.4_PLANO_002,NEEDS_DRAWING_VALUE_CONFIRMATION,leer cada linea del plano 401; longitudes por dibujo.
V210,2017_67-401 (2)-Model,401 (2),V.60/80,CONTINUOUS,3-2-1,continua 3-2-1 (familia A),,,,,"viga continua 3-2-1: seccion V60/80, F/F' base 2 B22, +F/+F' 2 B22 y 4 B22 concentradas sobre apoyo eje 2, barras inferiores por tramo, longitudes diferentes por dibujo (TP1/TP4). NO todas iguales.",ED B10@10 / B10@20 ; TP1/TP4 plano 002,TP.1_PLANO_002; TP.4_PLANO_002,NEEDS_DRAWING_VALUE_CONFIRMATION,leer cada linea del plano 401; longitudes por dibujo.
V211,2017_67-401 (2)-Model,401 (2),V.60/80,CONTINUOUS,3-2-1,continua 3-2-1 (familia A),,,,,"viga continua 3-2-1: seccion V60/80, F/F' base 2 B22, +F/+F' 2 B22 y 4 B22 concentradas sobre apoyo eje 2, barras inferiores por tramo, longitudes diferentes por dibujo (TP1/TP4). NO todas iguales.",ED B10@10 / B10@20 ; TP1/TP4 plano 002,TP.1_PLANO_002; TP.4_PLANO_002,NEEDS_DRAWING_VALUE_CONFIRMATION,leer cada linea del plano 401; longitudes por dibujo.
V300,2017_67-401 (2)-Model,401 (2),V.60/80,CONTINUOUS,3-2-1,continua 3-2-1 (familia A),,,,,"viga continua 3-2-1: seccion V60/80, F/F' base 2 B22, +F/+F' 2 B22 y 4 B22 concentradas sobre apoyo eje 2, barras inferiores por tramo, longitudes diferentes por dibujo (TP1/TP4). NO todas iguales.",ED B10@10 / B10@20 ; TP1/TP4 plano 002,TP.1_PLANO_002; TP.4_PLANO_002,NEEDS_DRAWING_VALUE_CONFIRMATION,leer cada linea del plano 401; longitudes por dibujo.
V301,2017_67-401 (2)-Model,401 (2),V.60/80,CONTINUOUS,3-2-1,continua 3-2-1 (familia A),,,,,"viga continua 3-2-1: seccion V60/80, F/F' base 2 B22, +F/+F' 2 B22 y 4 B22 concentradas sobre apoyo eje 2, barras inferiores por tramo, longitudes diferentes por dibujo (TP1/TP4). NO todas iguales.",ED B10@10 / B10@20 ; TP1/TP4 plano 002,TP.1_PLANO_002; TP.4_PLANO_002,NEEDS_DRAWING_VALUE_CONFIRMATION,leer cada linea del plano 401; longitudes por dibujo.
V302,2017_67-401 (2)-Model,401 (2),V.60/80,CONTINUOUS,3-2-1,continua 3-2-1 (familia A),,,,,"viga continua 3-2-1: seccion V60/80, F/F' base 2 B22, +F/+F' 2 B22 y 4 B22 concentradas sobre apoyo eje 2, barras inferiores por tramo, longitudes diferentes por dibujo (TP1/TP4). NO todas iguales.",ED B10@10 / B10@20 ; TP1/TP4 plano 002,TP.1_PLANO_002; TP.4_PLANO_002,NEEDS_DRAWING_VALUE_CONFIRMATION,leer cada linea del plano 401; longitudes por dibujo.
V303,2017_67-401 (2)-Model,401 (2),V.60/80,CONTINUOUS,3-2-1,continua 3-2-1 (familia A),,,,,"viga continua 3-2-1: seccion V60/80, F/F' base 2 B22, +F/+F' 2 B22 y 4 B22 concentradas sobre apoyo eje 2, barras inferiores por tramo, longitudes diferentes por dibujo (TP1/TP4). NO todas iguales.",ED B10@10 / B10@20 ; TP1/TP4 plano 002,TP.1_PLANO_002; TP.4_PLANO_002,NEEDS_DRAWING_VALUE_CONFIRMATION,leer cada linea del plano 401; longitudes por dibujo.
V304,2017_67-401 (2)-Model,401 (2),V.60/80,CONTINUOUS,3-2-1,continua 3-2-1 (familia A),,,,,"viga continua 3-2-1: seccion V60/80, F/F' base 2 B22, +F/+F' 2 B22 y 4 B22 concentradas sobre apoyo eje 2, barras inferiores por tramo, longitudes diferentes por dibujo (TP1/TP4). NO todas iguales.",ED B10@10 / B10@20 ; TP1/TP4 plano 002,TP.1_PLANO_002; TP.4_PLANO_002,NEEDS_DRAWING_VALUE_CONFIRMATION,leer cada linea del plano 401; longitudes por dibujo.
V305,2017_67-401 (2)-Model,401 (2),V.60/80,CONTINUOUS,3-2-1,continua 3-2-1 (familia A),,,,,"viga continua 3-2-1: seccion V60/80, F/F' base 2 B22, +F/+F' 2 B22 y 4 B22 concentradas sobre apoyo eje 2, barras inferiores por tramo, longitudes diferentes por dibujo (TP1/TP4). NO todas iguales.",ED B10@10 / B10@20 ; TP1/TP4 plano 002,TP.1_PLANO_002; TP.4_PLANO_002,NEEDS_DRAWING_VALUE_CONFIRMATION,leer cada linea del plano 401; longitudes por dibujo.
V207,2017_67-401 (2)-Model,401 (2),V.60/80 (vano unico/especial),SINGLE_SPAN,,familia B,,,,,detalle individual (posible B18/B16),ED (ver plano 002),,NEEDS_DRAWING_VALUE_CONFIRMATION,viga especial/vanos individuales entre G-H/F; no extrapolar a B22.
V208,2017_67-401 (2)-Model,401 (2),V.60/80 (vano unico/especial),SINGLE_SPAN,,familia B,,,,,detalle individual (posible B18/B16),ED (ver plano 002),,NEEDS_DRAWING_VALUE_CONFIRMATION,viga especial/vanos individuales entre G-H/F; no extrapolar a B22.
V209,2017_67-401 (2)-Model,401 (2),V.60/80 (vano unico/especial),SINGLE_SPAN,,familia B,,,,,detalle individual (posible B18/B16),ED (ver plano 002),,NEEDS_DRAWING_VALUE_CONFIRMATION,viga especial/vanos individuales entre G-H/F; no extrapolar a B22.
V306,2017_67-402 (1)-Model,402 (1),V.60/80,CONTINUOUS,3-2-1,continua 3-2-1 (familia A),,,,,"viga continua 3-2-1: seccion V60/80, F/F' base 2 B22, +F/+F' 2 B22 y 4 B22 concentradas sobre apoyo eje 2, barras inferiores por tramo, longitudes diferentes por dibujo (TP1/TP4). NO todas iguales.",ED B10@10 / B10@20 ; TP1/TP4 plano 002,TP.1_PLANO_002; TP.4_PLANO_002,NEEDS_DRAWING_VALUE_CONFIRMATION,leer cada linea del plano 402; longitudes por dibujo.
V307,2017_67-402 (1)-Model,402 (1),V.60/80,CONTINUOUS,3-2-1,continua 3-2-1 (familia A),,,,,"viga continua 3-2-1: seccion V60/80, F/F' base 2 B22, +F/+F' 2 B22 y 4 B22 concentradas sobre apoyo eje 2, barras inferiores por tramo, longitudes diferentes por dibujo (TP1/TP4). NO todas iguales.",ED B10@10 / B10@20 ; TP1/TP4 plano 002,TP.1_PLANO_002; TP.4_PLANO_002,NEEDS_DRAWING_VALUE_CONFIRMATION,leer cada linea del plano 402; longitudes por dibujo.
V308,2017_67-402 (1)-Model,402 (1),V.60/80,CONTINUOUS,3-2-1,continua 3-2-1 (familia A),,,,,"viga continua 3-2-1: seccion V60/80, F/F' base 2 B22, +F/+F' 2 B22 y 4 B22 concentradas sobre apoyo eje 2, barras inferiores por tramo, longitudes diferentes por dibujo (TP1/TP4). NO todas iguales.",ED B10@10 / B10@20 ; TP1/TP4 plano 002,TP.1_PLANO_002; TP.4_PLANO_002,NEEDS_DRAWING_VALUE_CONFIRMATION,leer cada linea del plano 402; longitudes por dibujo.
V400,2017_67-402 (1)-Model,402 (1),V.60/80,CONTINUOUS,3-2-1,continua 3-2-1 (familia A),,,,,"viga continua 3-2-1: seccion V60/80, F/F' base 2 B22, +F/+F' 2 B22 y 4 B22 concentradas sobre apoyo eje 2, barras inferiores por tramo, longitudes diferentes por dibujo (TP1/TP4). NO todas iguales.",ED B10@10 / B10@20 ; TP1/TP4 plano 002,TP.1_PLANO_002; TP.4_PLANO_002,NEEDS_DRAWING_VALUE_CONFIRMATION,leer cada linea del plano 402; longitudes por dibujo.
V401,2017_67-402 (1)-Model,402 (1),V.60/80,CONTINUOUS,3-2-1,continua 3-2-1 (familia A),,,,,"viga continua 3-2-1: seccion V60/80, F/F' base 2 B22, +F/+F' 2 B22 y 4 B22 concentradas sobre apoyo eje 2, barras inferiores por tramo, longitudes diferentes por dibujo (TP1/TP4). NO todas iguales.",ED B10@10 / B10@20 ; TP1/TP4 plano 002,TP.1_PLANO_002; TP.4_PLANO_002,NEEDS_DRAWING_VALUE_CONFIRMATION,leer cada linea del plano 402; longitudes por dibujo.
V402,2017_67-402 (1)-Model,402 (1),V.60/80,CONTINUOUS,3-2-1,continua 3-2-1 (familia A),,,,,"viga continua 3-2-1: seccion V60/80, F/F' base 2 B22, +F/+F' 2 B22 y 4 B22 concentradas sobre apoyo eje 2, barras inferiores por tramo, longitudes diferentes por dibujo (TP1/TP4). NO todas iguales.",ED B10@10 / B10@20 ; TP1/TP4 plano 002,TP.1_PLANO_002; TP.4_PLANO_002,NEEDS_DRAWING_VALUE_CONFIRMATION,leer cada linea del plano 402; longitudes por dibujo.
V403,2017_67-402 (1)-Model,402 (1),V.60/80,CONTINUOUS,3-2-1,continua 3-2-1 (familia A),,,,,"viga continua 3-2-1: seccion V60/80, F/F' base 2 B22, +F/+F' 2 B22 y 4 B22 concentradas sobre apoyo eje 2, barras inferiores por tramo, longitudes diferentes por dibujo (TP1/TP4). NO todas iguales.",ED B10@10 / B10@20 ; TP1/TP4 plano 002,TP.1_PLANO_002; TP.4_PLANO_002,NEEDS_DRAWING_VALUE_CONFIRMATION,leer cada linea del plano 402; longitudes por dibujo.
V404,2017_67-402 (1)-Model,402 (1),V.60/80,CONTINUOUS,3-2-1,continua 3-2-1 (familia A),,,,,"viga continua 3-2-1: seccion V60/80, F/F' base 2 B22, +F/+F' 2 B22 y 4 B22 concentradas sobre apoyo eje 2, barras inferiores por tramo, longitudes diferentes por dibujo (TP1/TP4). NO todas iguales.",ED B10@10 / B10@20 ; TP1/TP4 plano 002,TP.1_PLANO_002; TP.4_PLANO_002,NEEDS_DRAWING_VALUE_CONFIRMATION,leer cada linea del plano 402; longitudes por dibujo.
V405,2017_67-402 (1)-Model,402 (1),V.60/80,CONTINUOUS,3-2-1,continua 3-2-1 (familia A),,,,,"viga continua 3-2-1: seccion V60/80, F/F' base 2 B22, +F/+F' 2 B22 y 4 B22 concentradas sobre apoyo eje 2, barras inferiores por tramo, longitudes diferentes por dibujo (TP1/TP4). NO todas iguales.",ED B10@10 / B10@20 ; TP1/TP4 plano 002,TP.1_PLANO_002; TP.4_PLANO_002,NEEDS_DRAWING_VALUE_CONFIRMATION,leer cada linea del plano 402; longitudes por dibujo.
V309,2017_67-402 (1)-Model,402 (1),V.60/80 (vano unico/especial),SINGLE_SPAN,,familia B,,,,,detalle individual (posible B18/B16),ED (ver plano 002),,NEEDS_DRAWING_VALUE_CONFIRMATION,viga especial/vanos individuales; no extrapolar a B22.
V406,2017_67-402 (1)-Model,402 (1),V.60/80 (vano unico/especial),SINGLE_SPAN,,familia B,,,,,detalle individual (posible B18/B16),ED (ver plano 002),,NEEDS_DRAWING_VALUE_CONFIRMATION,viga especial/vanos individuales; no extrapolar a B22.
VF1,2017_67-402 (1)-Model,402 (1),"VF (fundacion, pieza profunda continua)",FOUNDATION_BEAM,E'-Eb-Ec-F',VF,,,,,"varias capas longitudinales: B18 predominante, continuas y adicionales a distintos niveles",ED (ver plano 002),,NEEDS_DRAWING_VALUE_CONFIRMATION,NO reducir a '2 B22'; no mezclar con V100-V406.
VF2,2017_67-402 (1)-Model,402 (1),"VF (fundacion, pieza profunda continua)",FOUNDATION_BEAM,E'-Eb-Ec-F',VF,,,,,"varias capas longitudinales: B18 predominante, continuas y adicionales a distintos niveles",ED (ver plano 002),,NEEDS_DRAWING_VALUE_CONFIRMATION,NO reducir a '2 B22'; no mezclar con V100-V406.
VF3,2017_67-402 (1)-Model,402 (1),"VF (fundacion, pieza profunda continua)",FOUNDATION_BEAM,E'-Eb-Ec-F',VF,,,,,"varias capas longitudinales: B18 predominante, continuas y adicionales a distintos niveles",ED (ver plano 002),,NEEDS_DRAWING_VALUE_CONFIRMATION,NO reducir a '2 B22'; no mezclar con V100-V406.
SECC_402,2017_67-402 (1)-Model,402 (1),escalonada ~60x80 (escalones ~40+40),SPECIAL,,LT1_SPECIAL_STEPPED_BEAM_SECTION,,,,,2B18 L~400 ; 4B16 L~335 x2 ; adicionales 2B10 y 1B10,E B10@10 L~220 ; E B10@10 L~200 ; traba T B10@10 L~55,,EXACT,asociar SOLO al elemento/detalle correspondiente del plano 402; NO aplicado a V60/80 ni a todo LT1.
